date,nav,source,retrieval_date
2016-01-01,38.777,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-04,38.9295,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-05,39.1332,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-06,40.1148,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-07,39.7182,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-08,39.3349,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-11,40.2673,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-12,40.6272,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-13,40.3086,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-14,40.8407,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-15,40.4794,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-18,40.2355,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-19,40.771,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-20,40.3431,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-21,40.0164,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-22,39.7079,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-25,39.6166,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-26,39.5256,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-27,38.8909,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-28,37.6479,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-01-29,38.7509,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-02-01,38.4443,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-02-02,38.4683,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-02-03,37.621,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
2016-02-04,37.5961,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.008543+00:00
