date,nav,source,retrieval_date
2016-01-01,98.6169,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-04,98.4978,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-05,98.6445,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-06,99.5676,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-07,99.1184,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-08,98.9702,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-11,99.7613,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-12,100.0751,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-13,99.4102,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-14,99.7783,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-15,99.2518,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-18,99.2545,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-19,99.5857,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-20,98.3164,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-21,96.9746,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-22,96.7605,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-25,96.3404,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-26,96.6332,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-27,96.5473,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-28,95.799,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-01-29,97.0617,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-01,96.9976,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-02,97.2847,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-03,96.1558,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-04,95.7132,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-05,95.931,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-08,95.3241,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-09,95.758,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-10,95.7284,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-11,95.1747,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-12,94.5521,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-15,95.853,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-16,95.6813,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-17,96.0081,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-18,96.7391,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-19,95.9592,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-22,95.9925,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-23,94.6206,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-24,93.8194,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-25,94.021,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-26,94.4089,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-02-29,94.4863,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-01,94.8378,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-02,95.0825,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-03,94.2435,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-04,93.4476,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-07,93.3502,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-08,94.5007,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-09,95.1547,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-10,94.2687,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-11,94.9234,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-14,94.735,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-15,94.5223,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-16,94.7673,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-17,95.5597,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-18,96.5913,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-21,95.915,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-22,95.5109,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-23,95.7993,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-24,96.4151,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-25,96.3344,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-28,96.1274,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-29,95.9454,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-30,94.8392,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-03-31,95.7649,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-01,96.4737,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-04,95.9524,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-05,96.7211,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-06,96.931,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-07,96.229,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-08,96.0257,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-11,97.0731,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-12,97.3797,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-13,98.6328,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-14,96.9393,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-15,97.6662,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-18,97.7624,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-19,97.1906,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-20,96.883,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-21,95.5605,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-22,95.417,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-25,95.9375,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-26,97.1651,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-27,97.0451,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-28,96.476,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-04-29,95.7929,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-02,96.5531,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-03,96.9668,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-04,95.9686,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-05,96.1088,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-06,96.0186,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-09,96.7307,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-10,96.0816,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-11,95.9021,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-12,95.6312,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-13,94.6792,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-16,94.7112,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-17,94.7427,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-18,94.4839,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-19,94.4857,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-20,93.7829,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-23,93.3423,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-24,93.5949,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-25,93.0403,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-26,93.4095,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-27,93.5304,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-30,94.2058,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-05-31,94.4759,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-01,94.7566,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-02,94.7633,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-03,93.3892,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-06,93.407,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-07,93.3462,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-08,94.8694,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-09,95.0298,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-10,95.3222,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-13,95.5193,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-14,94.739,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-15,95.423,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-16,95.6259,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-17,96.0795,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-20,94.5736,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-21,95.3531,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-22,94.4659,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-23,95.0474,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-24,96.4316,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-27,95.9283,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-28,94.9771,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-29,95.0703,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-06-30,94.3109,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-01,93.0192,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-04,93.0545,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-05,92.7827,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-06,93.2288,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-07,92.6952,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-08,93.7106,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-11,93.0553,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-12,92.7438,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-13,93.4197,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-14,92.2938,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-15,92.6445,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-18,93.4039,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-19,92.6585,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-20,93.086,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-21,92.8274,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-22,93.2029,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-25,92.2239,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-26,90.938,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-27,91.0222,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-28,91.9158,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-07-29,92.284,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-01,93.0759,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-02,92.9212,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-03,92.9052,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-04,93.0279,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-05,92.7844,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-08,94.1273,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-09,94.3122,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-10,93.1656,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-11,94.5447,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-12,93.9228,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-15,94.3782,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-16,95.1986,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-17,94.6432,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-18,95.3429,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-19,96.0238,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-22,96.5702,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-23,97.5247,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-24,97.3609,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-25,96.7724,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-26,96.6463,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-29,96.4955,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-30,96.5218,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-08-31,96.4212,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-01,96.2937,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-02,96.8853,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-05,97.0376,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-06,97.9336,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-07,97.6627,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-08,99.3418,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-09,99.8046,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-12,98.5567,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-13,97.5601,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-14,97.7429,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-15,97.9948,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-16,98.2778,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-19,98.6938,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-20,98.7588,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-21,98.6215,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-22,98.0259,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-23,97.7578,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-26,98.234,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-27,98.228,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-28,97.3714,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-29,97.4054,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-09-30,97.8686,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-03,97.4502,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-04,97.7712,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-05,98.2256,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-06,98.0577,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-07,98.3794,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-10,99.1257,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-11,99.7982,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-12,100.9154,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-13,100.3392,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-14,100.0504,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-17,100.4765,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
2016-10-18,100.6737,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.019111+00:00
