date,nav,source,retrieval_date
2016-01-01,35.6455,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-04,35.8398,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-05,36.2149,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-06,36.9007,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-07,36.6838,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-08,36.7049,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-11,37.2884,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-12,37.5288,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-13,37.3967,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-14,37.7233,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-15,37.6305,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-18,37.3813,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-19,37.5749,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-20,36.8202,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-21,36.2431,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-22,36.0314,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-25,35.6709,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-26,35.8834,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-27,35.4729,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-28,35.2095,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-01-29,35.5433,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-01,35.4215,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-02,35.5047,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-03,35.0918,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-04,34.9143,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-05,34.9665,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-08,34.6354,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-09,34.759,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-10,34.7198,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-11,34.728,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-12,34.6343,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-15,35.1827,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-16,35.19,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-17,34.8139,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-18,35.0096,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-19,34.6489,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-22,34.684,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-23,34.1062,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-24,33.5725,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-25,33.8298,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-26,34.0033,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-02-29,34.1024,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-01,34.1645,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-02,34.025,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-03,33.6387,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-04,33.2969,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-07,33.3109,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-08,33.6767,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-09,33.7493,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-10,33.1555,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-11,33.3604,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-14,33.1953,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-15,32.9197,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-16,33.1142,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-17,33.3511,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-18,33.8569,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-21,33.5405,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-22,33.542,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-23,33.6914,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-24,33.9335,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-25,33.7932,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-28,33.8307,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-29,33.4644,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-30,33.2113,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-03-31,33.5967,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-01,34.1554,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-04,34.1039,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-05,34.3486,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-06,34.427,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-07,34.2495,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-08,34.4467,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-11,34.7615,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-12,34.7686,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-13,35.3383,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-14,34.4221,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-15,34.8526,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-18,34.9466,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-19,35.0018,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-20,35.0309,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-21,34.4674,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-22,34.5822,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-25,34.8593,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-26,35.2702,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-27,35.0846,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-28,34.7906,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-04-29,34.6907,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-05-02,35.0935,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-05-03,35.1385,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-05-04,34.9836,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-05-05,34.9678,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-05-06,35.1726,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
2016-05-09,35.4728,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.003208+00:00
