date,nav,source,retrieval_date
2016-01-01,10055.17,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-04,10046.8,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-05,10117.4,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-06,10277.05,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-07,10258.64,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-08,10240.26,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-11,10407.61,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-12,10493.21,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-13,10449.72,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-14,10512.16,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-15,10469.23,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-18,10426.23,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-19,10457.19,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-20,10262.86,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-21,10091.48,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-22,10040.29,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-25,9944.12,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-26,9980.84,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-27,9895.7,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-28,9761.38,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-01-29,9909.82,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-01,9892.9,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-02,9905.02,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-03,9769.35,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-04,9721.54,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-05,9737.67,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-08,9630.94,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-09,9672.42,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-10,9619.65,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-11,9596.88,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-12,9544.41,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-15,9726.45,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-16,9730.48,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-17,9632.92,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-18,9717.45,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-19,9604.16,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-22,9629.5,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-23,9446.09,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-24,9325.82,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-25,9349.31,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-26,9423.5,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-02-29,9444.83,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-01,9439.1,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-02,9415.87,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-03,9281.83,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-04,9220.12,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-07,9182.72,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-08,9284.85,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-09,9321.86,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-10,9162.64,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-11,9197.37,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-14,9167.01,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-15,9110.0,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-16,9170.73,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-17,9270.33,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-18,9361.76,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-21,9288.34,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-22,9264.73,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-23,9300.52,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-24,9396.36,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-25,9356.51,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-28,9344.28,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-29,9246.04,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-30,9140.52,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-03-31,9219.82,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-01,9349.93,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-04,9348.34,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-05,9447.3,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-06,9486.66,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-07,9430.68,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-08,9469.95,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-11,9620.81,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-12,9622.65,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-13,9778.5,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-14,9527.71,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-15,9611.26,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-18,9624.91,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-19,9601.43,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-20,9615.52,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-21,9429.69,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-22,9414.16,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-25,9452.96,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-26,9597.86,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-27,9553.4,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-28,9481.42,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-04-29,9439.06,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-05-02,9530.65,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-05-03,9567.23,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-05-04,9521.81,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-05-05,9575.91,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-05-06,9590.48,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-05-09,9688.65,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-05-10,9625.96,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-05-11,9599.71,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-05-12,9567.35,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
2016-05-13,9432.59,NSE Indices Ltd / Public Archive,2026-09-05T05:36:32.992306+00:00
