date,nav,source,retrieval_date
2016-01-01,28.6316,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-04,28.2227,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-05,28.8097,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-06,29.3896,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-07,29.2747,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-08,29.4475,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-11,30.1897,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-12,30.2107,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-13,30.0334,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-14,30.181,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-15,29.5517,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-18,29.215,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-19,29.2842,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-20,28.5512,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-21,27.5551,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-22,27.6634,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-25,27.2979,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-26,27.4425,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-27,27.2416,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-28,26.572,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-01-29,27.2107,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-01,27.0647,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-02,26.8938,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-03,26.558,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-04,26.7498,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-05,26.9863,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-08,26.8303,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-09,26.8591,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-10,26.2867,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-11,26.5625,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-12,26.8692,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-15,27.9128,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-16,27.8479,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-17,27.2,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-18,27.2538,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-19,26.4321,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-22,26.5014,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-23,26.2325,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-24,25.769,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-25,25.9276,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-26,26.5202,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-02-29,26.5061,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-01,26.975,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-02,27.3766,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-03,26.8421,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-04,26.4749,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-07,26.5056,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-08,26.8102,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-09,26.6743,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-10,26.3939,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-11,26.8171,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-14,26.7439,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-15,26.228,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-16,26.1693,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-17,26.5682,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-18,26.7935,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-21,26.4424,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-22,26.6025,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-23,26.9158,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-24,27.6146,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
2016-03-25,27.2205,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.013846+00:00
