date,nav,source,retrieval_date
2016-01-01,18.3173,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-04,18.3975,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-05,18.4311,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-06,18.7311,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-07,18.7945,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-08,18.6348,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-11,18.9201,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-12,19.0169,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-13,18.9463,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-14,19.0716,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-15,18.9709,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-18,18.856,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-19,18.9088,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-20,18.5306,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-21,18.1896,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-22,18.1632,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-25,17.9344,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-26,18.041,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-27,17.9461,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-28,17.6177,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-01-29,17.8001,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-01,17.8618,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-02,17.8128,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-03,17.5748,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-04,17.5366,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-05,17.6188,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-08,17.4394,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-09,17.464,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-10,17.4848,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-11,17.5737,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-12,17.5633,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-15,17.8565,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-16,17.8075,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-17,17.5991,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-18,17.7696,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-19,17.6258,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-22,17.7666,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-23,17.5276,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-24,17.235,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-25,17.3469,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-26,17.397,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-02-29,17.4062,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-03-01,17.4171,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-03-02,17.5221,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-03-03,17.5306,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-03-04,17.4765,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-03-07,17.4059,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-03-08,17.6101,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-03-09,17.7347,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-03-10,17.457,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-03-11,17.641,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-03-14,17.6102,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
2016-03-15,17.5547,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:32.997925+00:00
