date,nav,source,retrieval_date
2016-01-01,2400.7153,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-04,2401.0803,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-05,2401.5068,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-06,2401.6269,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-07,2402.1281,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-08,2402.4387,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-11,2403.0298,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-12,2403.3733,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-13,2403.9707,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-14,2404.5083,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-15,2405.4828,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-18,2406.1752,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-19,2406.3054,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-20,2406.574,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-21,2407.1603,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-22,2407.5096,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-25,2407.63,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-26,2408.5281,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-27,2409.275,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-28,2409.9742,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-01-29,2410.4016,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-01,2411.0786,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-02,2411.4829,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-03,2412.1064,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-04,2412.4587,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-05,2413.3989,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-08,2413.5945,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-09,2414.4666,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-10,2415.0509,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-11,2415.5077,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-12,2416.1232,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-15,2416.8756,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-16,2417.7814,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-17,2418.4328,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-18,2418.7932,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-19,2419.3825,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-22,2420.3981,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
2016-02-23,2421.3006,portal.amfiindia.com / AMFI Historical NAV,2026-09-05T05:36:33.025475+00:00
